name,contact_0,contact_1
"Швейное производство ""ShveiPro"" 
            							                                	",shveipro@yandex.ru,89646428009
"""Виктория"" ООО 
            							                                	",ooo-viktoriya18@yandex.ru,+79511467366
"TexPrint33 
            							                                	",TexPrint33@yandex.ru,+79190098187
"Maglificio Bellissima 
            							                                	",semen@bellissima.it,+390574623337
"Студия пошива «STATUS» 
            							                                	",Stat.77@yandex.ru,89922374428
"ПКФ ""СПЕЦИАЛИСТ"" 
            							                                	",pkf.24@yandex.ru,+73912717917
"ИП Проскурин. П. Л 
            							                                	",Ipproskyrin@mail.ru,+79122100177
"ООО ""Стильная пуговица"" 
            							                                	",stylebutton@yandex.ru,84953169700
"""Novo"" 
            							                                	",info@novo-opt.ru,89263428423
"Швейный цех 
            							                                	",stepta82@mail.ru,+79854769088
"Соловьиная карусель 
            							                                	",mik46@mail.ru,89103109026
"ШВЕЙНАЯ ФАБРИКА «МТЧ» 
            							                                	",masterskaya.mtch@mail.ru,89315371822
"«Irida-teks» 
            							                                	",9158368807@mail.ru,89158228340
"«Брендбург» 
            							                                	",13@brandburg.ru,+7 (343) 363-37-13
"Швейное трикотажное производство ""Гербера"" 
            							                                	",sales@gerbera-tricotag.ru,+7(812)7034450
"«Швейка 24» 
            							                                	",shveika24@gmail.com,89163266699
"""Вселенная Текстиля"" 
            							                                	",info@ivunitex.ru,+7 (800) 500-08-53
"""МК-фурнитура"" 
            							                                	",info@mk-furnitura.ru,+7 (495) 508-65-17
"«ЛБЛ Принт» 
            							                                	",inbox@lblprint.ru,+74952760990
"""BULAKH WEAR COLLECTION"" 
            							                                	",bulakhwear@mail.ru,89221007276
"«FD LAB» 
            							                                	",info@labfd.ru,84954091763
"""Агаформ С-З"" 
            							                                	",agaform2@mail.ru,89818559994
"«Ludmula_dress5.6» 
            							                                	",ludmila_dress5.6@mail.ru,+79619334890
"Швейная фабрика Синюгиной 
            							                                	",badyarova18@yandex.ru,83422581227
"Швейная фабрика ""РУСПОШИВ"" 
            							                                	",+74999384778,
"""WinSport"" 
            							                                	",winsport.76@yandex.ru,+79251669020
"Швейная фабрика «Элис» 
            							                                	",rz_men6@elis.ru,+7 (84593) 6-09-78
"Швейная фабрика  «Российский дизайнер» 
            							                                	",rusdizainer@list.ru,+7 (915) 121 77
"Euro Style 
            							                                	",axmed.musaev.90@gmail.com,+79634299737
"Швейная фабрика «Перспектива» 
            							                                	",info@perspex.ru,+7 (342) 258-45-70
"Фабрика «Эксперт Плюс» 
            							                                	",info@fabrikaexpert.ru,+7 (499) 753-23-83
"Швейная фабрика ""Строчка"" 
            							                                	",ORDER@FABRIKA-STROCHKA.RU,+7 (343) 227-71-07
"""ЛолаАрт"" 
            							                                	",lolaartminsk@mail.ru,+375295012916
"""Мануфактурная лавка"" 
            							                                	",m.lavka.olesya@gmail.com,89534598908
"ООО ""КЕС ТЕК"" 
            							                                	",el.kestek@yandex.ru,8 910 424 36 53
"""Anatelle"" 
            							                                	",anatell.info6@gmail.com,8(861)-204-03-31
"Швейное производство «Kotlyarov» 
            							                                	",manager@kotlyarov.store,89270627879
"Merchlab 
            							                                	",orders@merchmerch.io,88002228869
"«Vsvoem» 
            							                                	",info@vsvoem.ru,8 (928) 661 09 99
"Швейное производство «Gensa_life» 
            							                                	",gensalife@yandex.ru,+89687030456
"Швейное предприятие ""ПошивСПб"" 
            							                                	",poshivspb@yandex.ru,+79119865069
"OOO ""ALKORPRO"" 
            							                                	",alkorpro@yandex.ru,(8442)601028
"Студия пошива одежды Галины Рякиной 
            							                                	",ryakina-galina@mail.ru,89281339566
"ООО ""Фабрикантъ"" 
            							                                	",vp_fabrikant@bk.ru,+7 (83334) 7-40-71
"ООО «НейлТекс» 
            							                                	",natalia.nailtex@gmail.com,+375 29 746 44 11
"""Эверена"" 
            							                                	",everena.ru@gmail.com,+79101704662
"«ГАЙ-ТЕКС» 
            							                                	",аckopian@mail.ru,89611164977
"ИП Нуров Зафар Нуруллоевич 
            							                                	",orlov-mobile@mail.ru,+7 (926) 661-1576
"«Дикий Лук Порей» 
            							                                	",germesglobal@bk.ru,+79096602030
"«ВИА-ТЕКС» 
            							                                	",via-teks@mail.ru,+7 (812) 677-36-71
"«СпецЗаказ» 
            							                                	",speczakaz24@yandex.ru,8 (391) 215-40-42
"«Швейная фабрика 1155moscow» 
            							                                	",mmi@1155.moscow,+7 (916) 146-7379
"ООО ""Стартекс"" 
            							                                	",Sergeeva@starteks.su,+7 343 287 47 18
"ООО «Сфера Групп» 
            							                                	",volodin_vg@rambler.ru,89166734555
"ШВЕЙНАЯ ФАБРИКА МТЧ 
            							                                	",masterskaya.mtch@mail.ru,89315371822
"ООО""Фанни"" Производитель детской одежды и школьной формы 
            							                                	",kat84329@yandex.ru,8( 8332) 35 73 75
"Ленинградская Вышивальная Фабрика 
            							                                	",zakaz@lenvishivka.ru,+7 (931) 318-91-71
"AretiCo 
            							                                	",aretico@mail.ru,89871392989
"OOO ""УНИФОРМА"" 
            							                                	",uf.pr@mail.ru,+375295223597
"ООО ""ЭкипСпорт"" 
            							                                	",zasport2012@yandex.ru,8(903)111-09-85
"ФКУ ИК-6 УФСИН России по Орловской области 
            							                                	",ctao.ik6.57@mail.ru,8 (48643) 2-06-45
"ВОЛГОГРАДСКАЯ ШВЕЙНАЯ КОМПАНИЯ 
            							                                	",darya_tomareva@mail.ru,8 -961-683-74-40
"Компания Арсинг 
            							                                	",lzhulina@list.ru,8-325-63-2-72-12
"ИП Андреева 
            							                                	",mylar-official@yandex.ru,89152660185
"Швейный цех Краснодар 
            							                                	",zakazinfokrd@mail.ru,+79615995995
"Швейный цех 
            							                                	",mojaluba2015@gmail.com,+79203768687
"Эрго-Текс 
            							                                	",ergoteks@mail.ru,+7(4932) 34-44-80
"ООО ""Шатойская швейная фабрика"" 
            							                                	",vk@shatoyfactory.com,+7 967 954 50 00
"«Venturion» 
            							                                	",mail@lea-lav.ru,+7 (961) 200-00-88
"""Форте Примо"" 
            							                                	",forteprimo@yandex.ru,8-800-775-46-16
"“SlavNa” 
            							                                	",SlavNa.store@gmail.com,84957731015
"ООО  "" Кондор-Арт"" 
            							                                	",kondor-art@bk.ru,+375447874909
"""Мануфактура"" 
            							                                	",info@fashionmf.com,74952015329
"Фабрика ""БЕЛЛА"" 
            							                                	",info@paltobella.ru,8 (800) 201 06 73
"""Море Вышивки"" 
            							                                	",mkc5@yandex.ru,8 495 9785057
"ООО ""Руслана"" 
            							                                	",OOORuslanatrikotaz@yandex.ru,8(8442)61-29-65
"""Sochi Fashion Lab"" 
            							                                	",sochifashionlab@gmail.com,89773416783
"Выкройки шапок, сумок 
            							                                	",sv3ta69@yandex.ru,+79612692950
"""КАТАЛИНА"" 
            							                                	",kat.2511@mail.ru,+79090555136
"Швейная фабрика ""Нико"" 
            							                                	",nikasapkina43@gmail.com,+79229652654
"«Швейная мастерская» 
            							                                	",info@poshivodezhdy.ru,8 (812) 989 02 40
"N-Collection 
            							                                	",n-collection@mail.ru,+7(980) 731-64-40
"ООО ""Хлопковый путь"" 
            							                                	",morozov.yuri1266@gmail.com,+79534848890
"Швейное производство Фабрика-21 
            							                                	",info.fabrika21@mail.ru,89083005929
"Швейная фабрика «Веснянка» 
            							                                	",ves-odejda@mail.ru,+7(47234) 3-13-28
"Швейная фабрика «Арион» 
            							                                	",in@rpk-arion.ru,+74957774187
"Швейная фабрика «Велес» 
            							                                	",info@veles-textile.ru,+7 (499) 340-36-69
"Швейная фабрика PoshivM.ru 
            							                                	",info@poshivm.ru,+7 (985) 812-68-95
"Швейная фабрика ""Авангард"" 
            							                                	",fabrikapriz@yandex.ru,+7(3852) 59-51-58
"Швейная фабрика «Калисто» 
            							                                	",Kalisto-alex@yandex.ru,8 (812) 309-60-33
"Швейная фабрика «Добрянка» 
            							                                	",sveta.kupzova@mail.ru,88002228058
"Швейная фабрика «Фабрика швейных изделий №3» 
            							                                	",info@fabrika3.ru,+7 (499) 611-30-77
"Швейная фабрика «Космос» 
            							                                	",info-fabrika@list.ru,+79858552828
"Швейная фабрика «Машук» 
            							                                	",sale@triko.ru,8(800) 200-63-36
"Швейная фабрика Грантекс 
            							                                	",79051079555@yandex.ru,+7(964)-492-98-99
"Швейная фабрика АО «Сударь» 
            							                                	",sudar@sudarmen.ru,+7 (49232) 3-11-12
"Швейная фабрика ООО ""Наппа"" 
            							                                	",savelevaolga@bk.ru,+79202536774
"Швейная фабрика «Лея» 
            							                                	",info@lea-group.ru,+7 (499) 643-43-42
"Швейное производство «АФИНА» 
            							                                	",uniformaspb@mail.ru,+7 (812) 313-57-70
"Швейное производство Надежды Ковалевой 
            							                                	",clothingindustry@yandex.ru,8 (812) 642-63-41
"Швейное предприятие ZARYA GROUP 
            							                                	",centr-rasprodag@mail.ru,+7 (831) 281-88-78
"Швейное производство PASCH 
            							                                	",info@pasch.ru,+7 (915) 232-88-50
"Швейное производство IMAGE 
            							                                	",factoryimage77@gmail.com,84957763360
"Швейная мастерская Александры 
            							                                	",uralec09@mail.ru,+79826963009
"ООО Тексилена 
            							                                	",ao@teksilena.ru,+7 (495) 725 5479
"ООО ""СТЕП"" 
            							                                	",info@step-kolomna.ru,84966181198
"ООО ТФ СПЕЦОДЕЖДА 
            							                                	",s516109c@mail.ru,83955516109
"Швейная фабрика MODER 
            							                                	",material@moder.ru,8 (863) 262-58-12
"Посадская Мануфактура 
            							                                	",gagauz@p-manufaktura.com,89653254716
"ООО Торговый Дом Минавла 
            							                                	",office@minavla.ru,+7 (906) 146-38-44
"Самарская швейная фабрика АСТРА 
            							                                	",info@astrasamara.ru,8 (846) 231–39–60
"УФСИН по Кировской области 
            							                                	",ufsinkirov@mail.ru,8(8332)35-25-11
"ООО «Соло» 
            							                                	",marketing@solo-bag.ru,8(83170)3-02-50
"Пошив меха 
            							                                	",Nkm-1@mail.ru,+79779635993
"ТМ ""Атон"" 
            							                                	",aton2202@gmail.com,4480121
"Псковская швейная фабрика «Славянка» 
            							                                	",truvor@truvor.ru,8(8112) 56 23 31
"УФСИН России по Республике Коми 
            							                                	",ufsinrkomi@yandex.ru,+7 (8212) 25-76-90;
"Частное предприятие ""Фиорента"" 
            							                                	",fiorenta@tut.by,+375297813355
"Фабрика Патрикс 
            							                                	",kobelev_igor@mail.ru,+7(928)777-09-39
"Центр моды ""Даймонд"" 
            							                                	",diamondpnz@mail.ru,8(8412)201703
"Швейный бутик ""Шафран"" 
            							                                	",shafrankb@gmail.com,89609369222
"ФКУ ИК-4 УФСИН России по Калужской области 
            							                                	",marketingik-4@mail.ru,8-48433-21-4-48
"Фабрика КВК «Ксения» 
            							                                	",ck.kovrov@yandex.ru,+7 904 599 99 36
"ООО Т37 ТЕКСТИЛЬ 
            							                                	",tnd37@mail.ru,9203782512
"ООО «Спецофф» 
            							                                	",spetsov37@yandex.ru,89109914717
"ООО «Гармент-Профи» 
            							                                	",garmentprofi@mail.ru,8 495 722 24 02
"ООО «Меридиан» 
            							                                	",donskova_i@masterllc.ru,495 668-88-90
"ООО «ПромТоргСервис» 
            							                                	",info@intexco.ru,+7 (499) 707-09-01
"ООО «Александровская слобода» 
            							                                	",apparel@alexsloboda.ru,+79303849202
"ООО «Золотой триумф» 
            							                                	",info@bubbles-style.ru,89127934627
"ООО «Учалинская швейная фабрика» 
            							                                	",ushf@ufamts.ru,+7 (34791) 6-23-90
"ООО ГК «НИКС» 
            							                                	",Volgasimteks@bk.ru,49-62-22
"ООО «ШВЕЙНАЯ ФАБРИКА САМШИТ» 
            							                                	",samsheet-mo@yandex.ru,8-499-707-12-02
"ООО АВАНГАРД 
            							                                	",581243@bk.ru,7(4932) 58-12-43
"ООО Дитис - швейное предприятие 
            							                                	",zakaz@ditis74.ru,+79823212486
"ООО Кубера 
            							                                	",sale@factory.city,+7 (920) 585 06 45
"ООО Алитексдизайн 
            							                                	",2009vp@mail.ru,+79255170989
"ООО Производственное швейное объединение “Славянка” 
            							                                	",forma-prof@yandex.ru,+78452599816
"ООО Рич Групп 
            							                                	",lin@optom.moda,+79289037355
"ООО РИБЕК 
            							                                	",hello@bluegreens.ru,+7(921)759-40-83
"ООО СенсоТекс 
            							                                	",sensonn@yandex.ru,8 831 278 64 38
"ООО РСК Покров 
            							                                	",info.strgroup@yandex.ru,89774645785
"ООО Мирракон 
            							                                	",info@mirracon.ru,+7(8412)214667
"ИП《Соколов》 
            							                                	",Profstroygrupp@mail.ru,89041921291
"ООО «Азовская швейная фабрика № 13» 
            							                                	",pkahf13@azov.donpac.ru,+7 (86342) 4-05-45
"Миатекс 
            							                                	",mershova97@gmail.com,+7 903 234 37 10
"Кизеловская швейная фабрика «ИНИЦИАТИВА» 
            							                                	",fabrica@iniciativa.ru,+7(34255) 4-23-25
"Нисси 
            							                                	",vitoelena82@gmail.com,+79265803225
"Конструкторское бюро «Studio 2BD» 
            							                                	",dbd@dbd-ski.com,+7(925)8538007
"ЛенКор Текстиль 
            							                                	",lenkortex37@mal.ru,+79303429312
"ООО ""НАТАНО"" 
            							                                	",natano@inbox.ru,8(4852)305-679
"ОАО ""Татьяна"" 
            							                                	",SSolyariSS@yandex.ru,+7 968 096 08 80
"ОАО ""8 МАРТА"" 
            							                                	",export8marta@mail.ru,+375232345012
"ООО ""А.Б.Р."" 
            							                                	",am.abr@yandex.ru,89660082666
"ООО ""КанТ"" 
            							                                	",antush@mail.ru,8-903-189-55-14
"ОдеждаСтиль СПб 
            							                                	",partner.06@mail.ru,(812) 495-98-83
"ООО ""ИнСтайл"" 
            							                                	",a4959606992@gmail.com,+7 (968) 944-07-06
"ООО ""СпецСервис"" 
            							                                	",lia.shamardina@ya.ru,89110277208
"ООО ""ПКФ Бизнес Альянс"" 
            							                                	",opt-tricotag@mail.ru,8(930)330-18-35
"ООО ""Текстиль-НН"" 
            							                                	",Textill.NN@yandex.ru,+78312812266 доб.112
"ООО ""Форинджой"" 
            							                                	",rabinaae@bk.ru,+7(916)5165072
"ООО ""Спецкомплект"" 
            							                                	",ip_mk@bk.ru,881369-2-000-9
"ООО ""Стиллини-Центр"" 
            							                                	",marketing@stillini.com,+74951429965
"«Спасский Горпромкомбинат» 
            							                                	",elenazhirko@mail.ru,+79140695621
"«Серенада» 
            							                                	",serenada-opt@mail.ru,8 (495) 137-97-32
"ИП Чахал М. Е. 
            							                                	",dliadietiei@mail.ru,9851998949
"«City Fabrika» 
            							                                	",e.sulimova@cityfabrika.ru,+7(916) 368 - 8828
"АО «Большевичка» 
            							                                	",info@bolshevichka.ru,+7 (499) 975-4388
"Ателье ""MADLEN"" 
            							                                	",madlen.moda@mail.ru,89114791792
"«Игорь Плакса» 
            							                                	",Plaksa-Lab@yandex.ru,84858260176
"Ателье «МаркА» 
            							                                	",atele-marka@yandex.ru,89250706252
"Дом моды, стиля, рефайнмента и красоты Светланы Матвеевой 
            							                                	",refinement58@yandex.ru,88412510315
"Группа компаний «БлокПОСТ» 
            							                                	",opt@blok-post.ru,8 (800) 700-89-80
"Бакр Текстиль 
            							                                	",bakr.textil@mail.ru,89012873433
"Ателье «Siluet» 
            							                                	",atele-siluet@mail.ru,+996553186435
"Дмитровская швейная фабрика ""Кокетка"" 
            							                                	",koketka799@yandex.ru,8(966)002-93-94
"ЗАО «Пеплос» Чебаркульская швейная фабрика 
            							                                	",peplos2002@mail.ru,+7(35168) 2-23-00
"ИП Колесник А.В. 
            							                                	",irinamh@bk.ru,+7 950 900 62 13
"ИП Львова Е.В. 
            							                                	",lvovaew@mail.ru,8 915 721-67-19
"ИП КОСТАНЕНКО 
            							                                	",aires.spb@mail.ru,+79216324087
"ИП Фурсова 
            							                                	",123vbn123@mail.ru,+79063059401
"ИП Галяветдинова ВВ 
            							                                	",ivv7676@mail.ru,89012837036
"Ивановская текстильная компания 
            							                                	",mail@ivcompany.ru,+7 (4932) 345-333
"«BUS Спортивная форма» 
            							                                	",sportforma67@gmail.com,+7 900 225-55-70
"""Ezel"" 
            							                                	",Svetlana55.09@mail.ru,89626894689
"""MODNIA"" 
            							                                	",alyonagodyn836@icloud.com,+79028793590
"""ИП Макова П.В."" 
            							                                	",nadya.zakharova.92@mail.ru,89613797096
"""Minel TexnoTextile"" 
            							                                	",atelie2006@rambler.ru,+998999733322
"""LUSTORE"" 
            							                                	",toni-alekhin@mail.ru,89200909977
"""ИП Смирнов"" 
            							                                	",adynko@mail.ru,89080682705
"BigHood 
            							                                	",zoya.morozova.1972@bk.ru,8 962 924-32-74
"""ЛАНА-СТИЛЬ"" 
            							                                	",info@lana-style.ru,89271496871
"Artikool 
            							                                	",malinin-alekcei@yandex.ru,+79604428572
"""ФКУ ИК-7 УФСИН России по Ставропольскому краю"" 
            							                                	",kantur52@gmail.com,88655265015
"Швейная фабрика ""GratiaVitae"" 
            							                                	",info@gratiavitae.ru,+79332007212
"""Шуйская текстильная компания"" 
            							                                	",stk-kpb@mail.ru,89621625613
"""КУТУЗОВ"" 
            							                                	",info@kutuzov.top,+79318500177
"«Brand Style» 
            							                                	",brend-style@list.ru,89124408220
"Opt Teks 
            							                                	",optteks37@mail.ru,89051080521
"Tricoterra 
            							                                	",manager@tricoterra.com,9621584216
"Look Fashion 
            							                                	",irishat70@gmail.com,89099303847
"Birlik 
            							                                	",birlik-group@mail.ru,84993904995
"Fabrika-TT / Фабрика-ТТ 
            							                                	",info@fabrika-tt.ru,+7 (4932) 77-31-91
